,ID_DELEGACIA,NOME_DEPARTAMENTO,NOME_SECCIONAL,NOME_DELEGACIA,CIDADE,ANO_BO,NUM_BO,DESCR_SOLUCAO,DESCR_PROVIDENCIA,NOME_DEPARTAMENTO_CIRC,NOME_SECCIONAL_CIRC,NOME_DELEGACIA_CIRC,NOME_MUNICIPIO_CIRC,DESCR_TIPO_BO,DATA_OCORRENCIA_BO,HORA_OCORRENCIA_BO,DESCRICAO_APRESENTACAO,DATAHORA_REGISTRO_BO,DATA_COMUNICACAO_BO,DATAHORA_IMPRESSAO_BO,DESCR_PERIODO,AUTORIA_BO,FLAG_INTOLERANCIA,TIPO_INTOLERANCIA,FLAG_FLAGRANTE,FLAG_STATUS,RUBRICA,DESCR_CONDUTA,DESDOBRAMENTO,BAIRRO,DESCR_TIPOLOCAL,DESCR_SUBTIPOLOCAL,CEP,LOGRADOURO,NUMERO_LOGRADOURO,LATITUDE,LONGITUDE,CONT_OBJETO,DESCR_MODO_OBJETO,DESCR_TIPO_OBJETO,DESCR_SUBTIPO_OBJETO,DESCR_UNIDADE,QUANTIDADE_OBJETO
16191488,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,253641,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-17,,,2012-03-26 16:00:00,2012-03-24,2012-03-26 15:59:58.000000,A NOITE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,shangai,Outros,Outros,,centro civico mogi das cruzes,0,,,1,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16191489,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,253641,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-17,,,2012-03-26 16:00:00,2012-03-24,2012-03-26 15:59:58.000000,A NOITE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,shangai,Outros,Outros,,centro civico mogi das cruzes,0,,,2,SUBTRAÍDO                               ,Documentos                              ,Cartao de identificação de contribuinte - CIC               ,Unidade   ,1.0
16191499,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,253668,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-23,,,2012-03-26 20:25:00,2012-03-24,2012-03-26 20:25:09.000000,DE MADRUGADA        ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Alto do Ipiranga,Outros,Outros,,Rua Dr Fernando Tancredi,50,"-23,5324931650789","-46,1982949306951",1,SUBTRAÍDO                               ,Documentos                              ,Carteira Nacional de Habilitação - CNH                      ,Unidade   ,1.0
16191500,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,253668,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-23,,,2012-03-26 20:25:00,2012-03-24,2012-03-26 20:25:09.000000,DE MADRUGADA        ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Alto do Ipiranga,Outros,Outros,,Rua Dr Fernando Tancredi,50,"-23,5324931650789","-46,1982949306951",2,SUBTRAÍDO                               ,Documentos                              ,Cartao bancário                                             ,Unidade   ,1.0
16192079,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,256589,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-27 11:44:00,2012-03-25,2012-03-27 11:44:01.000000,A TARDE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Mogi Moderno,Outros,Outros,,rua doutor freitas vale,160,"-23,5421879711427","-46,192345633756",1,SUBTRAÍDO                               ,Documentos                              ,Carteira Nacional de Habilitação - CNH                      ,Unidade   ,1.0
16192080,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,256589,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-27 11:44:00,2012-03-25,2012-03-27 11:44:01.000000,A TARDE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Mogi Moderno,Outros,Outros,,rua doutor freitas vale,160,"-23,5421879711427","-46,192345633756",2,SUBTRAÍDO                               ,Documentos                              ,Cartao de identificação de contribuinte - CIC               ,Unidade   ,1.0
16192081,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,256589,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-27 11:44:00,2012-03-25,2012-03-27 11:44:01.000000,A TARDE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Mogi Moderno,Outros,Outros,,rua doutor freitas vale,160,"-23,5421879711427","-46,192345633756",3,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16192082,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,256589,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-27 11:44:00,2012-03-25,2012-03-27 11:44:01.000000,A TARDE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Mogi Moderno,Outros,Outros,,rua doutor freitas vale,160,"-23,5421879711427","-46,192345633756",4,SUBTRAÍDO                               ,Documentos                              ,Cartao de crédito                                           ,Unidade   ,1.0
16192083,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,256589,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-27 11:44:00,2012-03-25,2012-03-27 11:44:01.000000,A TARDE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Mogi Moderno,Outros,Outros,,rua doutor freitas vale,160,"-23,5421879711427","-46,192345633756",5,SUBTRAÍDO                               ,Documentos                              ,Cartao bancário e de crédito                                ,Unidade   ,1.0
16192084,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,256589,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-27 11:44:00,2012-03-25,2012-03-27 11:44:01.000000,A TARDE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Mogi Moderno,Outros,Outros,,rua doutor freitas vale,160,"-23,5421879711427","-46,192345633756",6,SUBTRAÍDO                               ,Documentos                              ,Cartao bancário e de crédito                                ,Unidade   ,1.0
16192588,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259348,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,02º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 07:57:00,2012-03-26,2012-03-28 07:56:56.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,carmo,Outros,Outros,,rua nossa senhora do carmo,62,"-23,4812661305435","-46,0869206936549",1,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16192589,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259348,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,02º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 07:57:00,2012-03-26,2012-03-28 07:56:56.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,carmo,Outros,Outros,,rua nossa senhora do carmo,62,"-23,4812661305435","-46,0869206936549",2,SUBTRAÍDO                               ,Documentos                              ,Outros-Documentos                                           ,Unidade   ,1.0
16192590,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259348,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,02º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 07:57:00,2012-03-26,2012-03-28 07:56:56.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,carmo,Outros,Outros,,rua nossa senhora do carmo,62,"-23,4812661305435","-46,0869206936549",3,SUBTRAÍDO                               ,Documentos                              ,Cartao bancário e de crédito                                ,Unidade   ,1.0
16192591,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259348,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,02º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 07:57:00,2012-03-26,2012-03-28 07:56:56.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,carmo,Outros,Outros,,rua nossa senhora do carmo,62,"-23,4812661305435","-46,0869206936549",4,SUBTRAÍDO                               ,Documentos                              ,Carteira de associado de plano de saúde                     ,Unidade   ,1.0
16192592,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259348,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,02º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 07:57:00,2012-03-26,2012-03-28 07:56:56.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,carmo,Outros,Outros,,rua nossa senhora do carmo,62,"-23,4812661305435","-46,0869206936549",5,SUBTRAÍDO                               ,Documentos                              ,Cartao de identificação de contribuinte - CIC               ,Unidade   ,1.0
16192593,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259348,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,02º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 07:57:00,2012-03-26,2012-03-28 07:56:56.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,carmo,Outros,Outros,,rua nossa senhora do carmo,62,"-23,4812661305435","-46,0869206936549",6,SUBTRAÍDO                               ,Documentos                              ,Titulo de eleitor                                           ,Unidade   ,1.0
16192627,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259523,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 08:33:00,2012-03-26,2012-03-28 08:32:36.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,BRAZ CUBAS,Outros,Outros,,R. TENENTE GALDINO PINHEIRO FRANCO,544,,,1,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16192628,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259523,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 08:33:00,2012-03-26,2012-03-28 08:32:36.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,BRAZ CUBAS,Outros,Outros,,R. TENENTE GALDINO PINHEIRO FRANCO,544,,,2,SUBTRAÍDO                               ,Documentos                              ,Outros-Documentos                                           ,Unidade   ,1.0
16192629,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259523,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 08:33:00,2012-03-26,2012-03-28 08:32:36.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,BRAZ CUBAS,Outros,Outros,,R. TENENTE GALDINO PINHEIRO FRANCO,544,,,3,SUBTRAÍDO                               ,Documentos                              ,Cartao de identificação de contribuinte - CIC               ,Unidade   ,1.0
16192630,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259523,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-03-28 08:33:00,2012-03-26,2012-03-28 08:32:36.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,BRAZ CUBAS,Outros,Outros,,R. TENENTE GALDINO PINHEIRO FRANCO,544,,,4,SUBTRAÍDO                               ,Documentos                              ,Cartao bancário                                             ,Unidade   ,1.0
16192686,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,259858,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,04º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-28 08:57:00,2012-03-26,2012-03-28 08:56:43.000000,A TARDE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,,Outros,Outros,,rua:dr Deodato wertheimer,0,"-23,6755478548481","-46,1839313504716",1,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em outra UF           ,Unidade   ,1.0
16193336,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,264379,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,DEL.SEC.MOGI DAS CRUZES       ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-29 16:47:00,2012-03-27,2012-03-29 16:46:33.000000,A NOITE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,conj nova bertioga,Outros,Outros,,r rikio suenaga,181,,,1,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16193337,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,264379,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,DEL.SEC.MOGI DAS CRUZES       ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-29 16:47:00,2012-03-27,2012-03-29 16:46:33.000000,A NOITE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,conj nova bertioga,Outros,Outros,,r rikio suenaga,181,,,2,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16193338,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,264379,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,DEL.SEC.MOGI DAS CRUZES       ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-24,,,2012-03-29 16:47:00,2012-03-27,2012-03-29 16:46:33.000000,A NOITE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,conj nova bertioga,Outros,Outros,,r rikio suenaga,181,,,3,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16193728,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,266947,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-14,,,2012-03-30 10:23:00,2012-03-28,2012-03-30 10:22:42.000000,A NOITE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,,Outros,Outros,,mogi das cruzes,0,,,1,SUBTRAÍDO                               ,Documentos                              ,Cartao de identificação de contribuinte - CIC               ,Unidade   ,1.0
16193729,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,266947,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-14,,,2012-03-30 10:23:00,2012-03-28,2012-03-30 10:22:42.000000,A NOITE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,,Outros,Outros,,mogi das cruzes,0,,,2,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16194080,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,269263,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-28,,,2012-03-31 05:20:00,2012-03-29,2012-03-31 05:19:38.000000,A TARDE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,,Outros,Outros,,Av.Voluntario Fernando Pinheiro Franco,0,"-23,5240057985486","-46,194603549451",1,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16194082,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,269300,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,04º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-29,,,2012-03-31 05:35:00,2012-03-29,2012-03-31 05:34:40.000000,DE MADRUGADA        ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,VILA PAULISTA,Outros,Outros,,rua dos mineiros,71,"-23,5493780329691","-46,2202339098693",1,SUBTRAÍDO                               ,Peça automotiva/acessório               ,Placa-Peça automotiva/acessório                             ,Unidade   ,1.0
16194198,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,270322,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-29,,,2012-03-31 13:20:00,2012-03-29,2012-03-31 13:19:55.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Centro,Outros,Outros,,Rua Doutor Deodato Wertheimer,1600,"-23,5248226956642","-46,1944258517425",1,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16194199,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,270322,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-29,,,2012-03-31 13:20:00,2012-03-29,2012-03-31 13:19:55.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Centro,Outros,Outros,,Rua Doutor Deodato Wertheimer,1600,"-23,5248226956642","-46,1944258517425",2,SUBTRAÍDO                               ,Documentos                              ,Outros-Documentos                                           ,Unidade   ,1.0
16194740,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,273492,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,04º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-26,,,2012-04-02 02:06:00,2012-03-30,2012-04-02 02:06:06.000000,A NOITE             ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,jardim margarida,Outros,Outros,,rua zelia,203,"-23,4862887170229","-46,2838614150836",1,SUBTRAÍDO                               ,Documentos                              ,Carteira de identidade (RG) - emitida em SP                 ,Unidade   ,1.0
16195343,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,277196,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-03-27,,,2012-04-02 15:49:00,2012-03-31,2012-04-02 15:48:35.000000,DE MADRUGADA        ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Alto do Ipiranga,Outros,Outros,,Rua Engenheiro Eugenio Motta,920,"-23,533372226132","-46,2002899137293",1,SUBTRAÍDO                               ,Documentos                              ,Cartao bancário                                             ,Unidade   ,1.0
16196355,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,282685,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-04-02,,,2012-04-03 15:08:00,2012-04-02,2012-04-03 15:08:07.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Centro,Outros,Outros,,Av. Voluntário Fernando Pinheiro Franco,830,"-23,5255621562163","-46,2026198880223",1,SUBTRAÍDO                               ,Documentos                              ,Cartao bancário e de crédito                                ,Unidade   ,1.0
16197289,900020,DIPOL - DEPTO DE INTELIGENCIA           ,DELEGACIA ELETRONICA                    ,DELEGACIA ELETRONICA          ,Mogi das Cruzes                         ,2012,289107,BO PARA INVESTIGAÇÃO          ,,DEMACRO                                 ,DEL.SEC.MOGI DAS CRUZES                 ,01º D.P. MOGI DAS CRUZES      ,MOGI DAS CRUZES               ,Boletim de Ocorrência                   ,2012-04-02,,,2012-04-04 17:12:00,2012-04-04,2012-04-04 17:11:38.000000,PELA MANHÃ          ,DESCONHECIDA,N,, ,CONSUMADO,Furto (art. 155),OUTROS,,Centro,Outros,Outros,,ESTAÇÃO DE TREM DE MOGI DAS CRUZES,0,,,1,SUBTRAÍDO                               ,Documentos                              ,Carteira Nacional de Habilitação - CNH                      ,Unidade   ,1.0
